"Related post","التدوينات المرتبطة"
"Relative to current skin directory, e.g. images/rsslogo.jpg","Relative to current skin directory, e.g. images/rsslogo.jpg"
"Return to","العودة إلى"
"Route to Blog","رابط المدوّنة"
"RSS Feed Image","RSS Feed Image"
"RSS Feed","RSS Feed"
"RSS Posts to Show","RSS Posts to Show"
"Save And Continue Edit","Save And Continue Edit"
"Save Category","حفظ التصنيف"
"Save Comment","حفظ التعليق"
"Save Post","حفظ التدوينة"
"Send Emails to","أرسل إيميل إلى"
"Short Content","المختصر"
"Short","Short"
"Show Bookmarks in Lists","Show Bookmarks in Lists"
"Show Bookmarks in Posts","Show Bookmarks in Posts"
"Show Breadcrumbs","Show Breadcrumbs"
"Submit Comment","إضافة التعليق"
"Summary Character Count","عدد محارف الخلاصة"
"Tagged with "%s"","معلّمة بـ "%s""
"Tags to Display","عدد العلامات الظاهرة"
"The number of recent post to be displayed in the menu. 0 to disable.","عدد آخر التدوينات الظاهرة في القائمة. أدخل 0 للإلغاء"
"The number of tags to display in tag cloud. 0 disables tag cloud","عدد العلامات الظاهرة في غيمة العلامات، أدخل 0 لإلغاء غيمة العلامات"
"The number of posts displayed per page. Set 0 to disable pagination.","عدد التدوينات الظاهرة في الصفحة. ادخل 0 لإلغاء ترقيم الصفحات"
"The requested page could not be found","لم يتم إيجاد الصفحة المطلوبة"
"Total of %d comment(s) were successfully approved","تم الموافقة على %d تعليق بنجاح"
"Total of %d comment(s) were successfully unapproved","تم إلغاء الموافقة على %d تعليق بنجاح"
"Total of %d record(s) were successfully updated","تم تحديث %d مدخل بنجاح"
"Unable to find category to save","لا يمكن إيجاد التصنيف للحفظ"
"Unable to find comment to save","لايمكن إيجاد التعليق للحفظ"
"Unable to find post to save","لا يمكن إيجاد التدوينة للحفظ"
"Unapprove","غير موافق عليه"
"Unapproved","غير موافق عليه"
"Updated at","تم التحديث في"
"Use Categories ID in Posts URLs","استخدام معرّف التصنيف في رابط التدوينة"
"Use Short Content Field","استخدام حقل المحتوى المختصر"
"Use comma as separator","استخدم الفاصيل لإضافة أكثر من علامة"
"Valid values range from 0.0 to 1.0","مجال القيمة الصحيح هو من 0.0 إلى 1.0"
"Yes, all pages","نعم، في جميع الصفحات"
"Yes, only blog page","نعم، فقط صفحة المدوّنة"
"You must be logged in to comment.","يجب عليك تسجيل الدخول للتعليق"
"You must be logged in to post a comment.","يجب عليك تسجيل الدخول لإضافة تعليق"
"Your comment has been submitted and is awaiting approval.","تم إضافة تعليقك وهي بانتظار الموافقة على النشر"
"Your comment has been submitted.","تمّ إضافة تعليقك"
"Your Recaptcha solution was incorrect, please try again","الإجابة خاطئة يرجى إعادة المحاولة"
